,labels,samples_per_cluster,silhouette_score
cluster_2,"[1 1 0 0 0 1 0 0 0 1 1 1 0 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","{1: 173, 0: 17}",0.7395297507551528
cluster_3,"[0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 173, 1: 15, 2: 2}",0.7089543471301774
cluster_4,"[0 3 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 157, 3: 16, 1: 15, 2: 2}",0.6244047368479189
cluster_5,"[0 3 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 2 0
 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0
 0 0 0 4 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 154, 3: 16, 1: 15, 4: 3, 2: 2}",0.6384611938298376
cluster_6,"[3 1 0 0 0 5 0 0 0 5 5 3 0 0 5 0 0 3 3 3 3 3 5 3 3 3 5 3 3 3 3 3 5 5 3 5 3
 3 3 3 3 3 5 5 5 5 3 3 3 5 5 3 0 5 0 0 0 3 3 3 3 3 2 5 0 3 5 5 3 3 3 3 2 3
 5 3 4 3 5 5 5 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 3 3 3 1 1 3 3 3 3
 3 3 3 4 3 3 3 3 3 3 3 1 1 1 3 3 3 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3 3 3]","{3: 129, 5: 25, 1: 16, 0: 15, 4: 3, 2: 2}",0.6120112747342631
cluster_7,"[1 0 6 6 6 5 6 3 3 5 5 1 3 3 5 3 3 1 1 1 1 1 5 1 1 1 5 1 1 1 1 1 5 5 1 5 1
 1 1 1 1 1 5 5 5 5 1 1 1 5 5 1 6 5 6 6 6 1 1 1 1 1 2 5 3 1 5 5 1 1 1 1 2 1
 5 1 4 1 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1
 1 1 1 4 1 1 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","{1: 129, 5: 25, 0: 16, 6: 8, 3: 7, 4: 3, 2: 2}",0.6262044327762938
cluster_8,"[1 0 6 6 6 5 6 3 3 5 5 1 3 3 5 3 3 1 1 1 1 1 5 1 1 1 5 1 1 1 1 1 5 5 1 5 1
 1 1 1 1 1 5 5 5 5 1 1 1 5 5 1 6 5 6 6 6 1 1 1 1 1 2 5 3 1 5 5 1 1 1 1 2 1
 5 1 4 1 5 5 5 5 5 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 7 7 1 1 1 7 7 1 1 1 1
 1 1 1 4 1 1 1 1 1 1 1 7 7 7 1 1 1 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 4 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 7 7 7 7 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1]","{1: 129, 5: 25, 7: 13, 6: 8, 3: 7, 0: 3, 4: 3, 2: 2}",0.6226690398064133
cluster_9,"[0 8 6 6 6 5 6 1 1 5 5 0 1 1 5 1 1 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0 5 5 0 5 0
 0 0 0 0 0 5 5 5 5 0 0 0 5 5 0 6 5 6 6 6 0 0 0 0 0 2 5 1 0 5 5 0 0 0 0 2 0
 5 0 4 0 5 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 3 0 0 0 3 3 0 0 0 0
 0 0 0 4 0 0 0 0 0 0 0 3 3 3 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]","{0: 129, 5: 25, 3: 13, 6: 8, 1: 7, 4: 3, 2: 2, 7: 2, 8: 1}",0.6195202067864618
cluster_10,"[5 8 6 6 6 2 6 1 1 2 2 5 1 1 2 1 1 9 5 9 5 9 2 5 5 5 2 5 5 5 5 5 2 2 5 2 5
 5 5 5 5 5 2 2 2 2 5 5 5 2 2 5 6 2 6 6 6 5 5 5 5 5 0 2 1 5 2 2 5 5 9 9 0 5
 2 5 4 5 2 2 2 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 7 3 3 5 5 9 3 3 5 5 5 5
 5 5 5 4 5 5 5 5 5 9 5 3 3 3 5 5 5 3 3 5 5 5 5 9 5 5 5 5 5 5 5 5 4 5 5 5 5
 9 7 5 5 9 5 5 5 5 5 5 5 5 5 5 5 3 3 3 3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 5 5 5 5]","{5: 119, 2: 25, 3: 13, 9: 10, 6: 8, 1: 7, 4: 3, 0: 2, 7: 2, 8: 1}",0.6461895237222129
cluster_11,"[ 2  8  6  6  6  0  6  1  1  0  0  2  1  1  0  1  1  9  2  9  2  9  0  2
  2  2  0  2  2  2  2  2  0  0  2  0  2  2  2  2  2  2  0  0  0  0  2  2
  2  0  0  2  6  0  6  6  6  2  2  2  2  2 10  0  1  2  0  0  2  2  9  9
  5  2  0  2  4  2  0  0  0  0  0  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  7  3  3  2  2  9  3  3  2  2  2  2  2  2  2  4  2  2  2  2  2
  9  2  3  3  3  2  2  2  3  3  2  2  2  2  9  2  2  2  2  2  2  2  2  4
  2  2  2  2  9  7  2  2  9  2  2  2  2  2  2  2  2  2  2  2  3  3  3  3
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2]","{2: 119, 0: 25, 3: 13, 9: 10, 6: 8, 1: 7, 4: 3, 7: 2, 5: 1, 8: 1, 10: 1}",0.6410397453340878
cluster_12,"[ 2  8  6  6  6  9  6  0  0  5  5  2  0  0  5  0  0  4  2  4  2  4  9  2
  2  2  9  2  2  2  2  2  9  9  2  9  2  2  2  2  2  2  9  9  9  9  2  2
  2  9  9  2  6  9  6  6  6  2  2  2  2  2 10  5  0  2  9  9  2  2  4  4
 11  2  9  2  1  2  9  9  9  9  9  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  7  3  3  2  2  4  3  3  2  2  2  2  2  2  2  1  2  2  2  2  2
  4  2  3  3  3  2  2  2  3  3  2  2  2  2  4  2  2  2  2  2  2  2  2  1
  2  2  2  2  4  7  2  2  4  2  2  2  2  2  2  2  2  2  2  2  3  3  3  3
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2]","{2: 119, 9: 21, 3: 13, 4: 10, 6: 8, 0: 7, 5: 4, 1: 3, 7: 2, 8: 1, 10: 1, 11: 1}",0.6425125574023735
cluster_13,"[ 2  8  6  6  6  9  6  3 12  5  5  2  3  3  5  3  3  4  2  4  2  4  9  2
  2  2  9  2  2  2  2  2  9  9  2  9  2  2  2  2  2  2  9  9  9  9  2  2
  2  9  9  2  6  9  6  6  6  2  2  2  2  2 10  5  3  2  9  9  2  2  4  4
 11  2  9  2  0  2  9  9  9  9  9  2  2  2  2  2  2  2  2  2  2  2  2  2
  2  2  2  7  1  1  2  2  4  1  1  2  2  2  2  2  2  2  0  2  2  2  2  2
  4  2  1  1  1  2  2  2  1  1  2  2  2  2  4  2  2  2  2  2  2  2  2  0
  2  2  2  2  4  7  2  2  4  2  2  2  2  2  2  2  2  2  2  2  1  1  1  1
  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2  2]","{2: 119, 9: 21, 1: 13, 4: 10, 6: 8, 3: 6, 5: 4, 0: 3, 7: 2, 8: 1, 10: 1, 11: 1, 12: 1}",0.642990517523465
cluster_14,"[ 0  8  6  6  6  9  6  3 12  5  5  0  3  3  5  3  3  4  0  4  0  4  9  0
  0  0  9  0  0  0  0  0  9  9  0  9  0  0  0  0  0  0  9  9  9  9  0  0
  0  9  9  0  6  9  6  6  6  0  0  0  0  0 10  5  3  0  9  9  0  0  4  4
 11  0  9  0  2  0  9  9  9  9  9  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  7  1  1  0  0  4  1  1  0  0  0  0  0  0  0  2  0  0  0  0  0
  4  0  1  1  1  0  0  0  1  1  0  0  0  0  4  0  0  0  0  0  0  0  0 13
  0  0  0  0  4  7  0  0  4  0  0  0  0  0  0  0  0  0  0  0  1  1  1  1
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]","{0: 119, 9: 21, 1: 13, 4: 10, 6: 8, 3: 6, 5: 4, 2: 2, 7: 2, 8: 1, 10: 1, 11: 1, 12: 1, 13: 1}",0.6401458525611056
cluster_15,"[ 3  8 14 14 14  9 14  1 12  5  5  3  1  1  5  1  1  4  3  4  3  4  9  3
  3  3  9  3  3  3  3  3  9  9  3  9  3  3  3  3  3  3  9  9  9  9  3  3
  3  9  9  3 14  9 14 14 14  3  3  3  3  3 10  5  1  3  9  9  3  3  4  4
 11  6  9  3  2  6  9  9  9  9  9  3  3  6  3  3  3  3  3  3  3  3  3  3
  3  3  3  7  0  0  3  3  4  0  0  3  3  3  3  6  6  3  2  3  3  3  3  3
  4  6  0  0  0  3  3  3  0  0  3  3  3  3  4  3  3  3  3  6  3  3  3 13
  3  3  3  3  4  7  3  3  4  3  6  3  3  6  3  3  3  3  3  3  0  0  0  0
  3  3  3  3  3  3  3  3  3  3  3  3  6  3  3  3  3  3  3  3  3  3]","{3: 109, 9: 21, 0: 13, 4: 10, 6: 10, 14: 8, 1: 6, 5: 4, 2: 2, 7: 2, 8: 1, 10: 1, 11: 1, 12: 1, 13: 1}",0.5142266211861591
cluster_16,"[ 3  8 14 14 14  4 14  0 12  5  5  3  0  0  5  0  0  1  3  1  3  1  4  3
  3  3  4  3  3  3  3  3  4  4  3  4  3  3  3  3  3  3  4  4  4  4  3  3
  3  4  4  3 14  4 14 14 14  3  3  3  3  3 10  5  0  3  4  4  3  3  1  1
 11  6  4  3  2  6  4  4  4  4  4  3  3  6  3  3  3  3  3  3  3  3  3  3
  3  3  3  7 15 15  3  3  1  9  9  3  3  3  3  6  6  3  2  3  3  3  3  3
  1  6  9  9  9  3  3  3  9  9  3  3  3  3  1  3  3  3  3  6  3  3  3 13
  3  3  3  3  1  7  3  3  1  3  6  3  3  6  3  3  3  3  3  3  9  9  9  9
  3  3  3  3  3  3  3  3  3  3  3  3  6  3  3  3  3  3  3  3  3  3]","{3: 109, 4: 21, 9: 11, 1: 10, 6: 10, 14: 8, 0: 6, 5: 4, 2: 2, 7: 2, 15: 2, 8: 1, 10: 1, 11: 1, 12: 1, 13: 1}",0.5310919155332442
cluster_17,"[ 3  8 14 14 14  1 14  7 12  5  5  3  4  4  5  4  4  0  3  0  3  0  1  3
  3  3  1  3  3  3  3  3  1  1  3  1  3  3  3  3  3  3  1  1  1  1  3  3
  3  1  1  3 14  1 14 14 14  3  3  3  3  3 10  5  7  3  1  1  3  3  0  0
 11  6  1  3  2  6  1  1  1  1  1  3  3  6  3  3  3  3  3  3  3  3  3  3
  3  3  3 16 15 15  3  3  0  9  9  3  3  3  3  6  6  3  2  3  3  3  3  3
  0  6  9  9  9  3  3  3  9  9  3  3  3  3  0  3  3  3  3  6  3  3  3 13
  3  3  3  3  0 16  3  3  0  3  6  3  3  6  3  3  3  3  3  3  9  9  9  9
  3  3  3  3  3  3  3  3  3  3  3  3  6  3  3  3  3  3  3  3  3  3]","{3: 109, 1: 21, 9: 11, 0: 10, 6: 10, 14: 8, 4: 4, 5: 4, 15: 2, 16: 2, 7: 2, 2: 2, 10: 1, 11: 1, 12: 1, 13: 1, 8: 1}",0.539285023204852
cluster_18,"[ 3 17 14 14 14  1 14  7 12  5  5  3  4  4  5  4  4  6  3  6  3  8  1  3
  3  3  1  3  3  3  3  3  1  1  3  1  3  3  3  3  3  3  1  1  1  1  3  3
  3  1  1  3 14  1 14 14 14  3  3  3  3  3 10  5  7  3  1  1  3  3  6  6
 11  2  1  3  0  2  1  1  1  1  1  3  3  2  3  3  3  3  3  3  3  3  3  3
  3  3  3 16 15 15  3  3  6  9  9  3  3  3  3  2  2  3  0  3  3  3  3  3
  6  2  9  9  9  3  3  3  9  9  3  3  3  3  6  3  3  3  3  2  3  3  3 13
  3  3  3  3  6 16  3  3  6  3  2  3  3  2  3  3  3  3  3  3  9  9  9  9
  3  3  3  3  3  3  3  3  3  3  3  3  2  3  3  3  3  3  3  3  3  3]","{3: 109, 1: 21, 9: 11, 2: 10, 6: 9, 14: 8, 4: 4, 5: 4, 16: 2, 15: 2, 0: 2, 7: 2, 11: 1, 12: 1, 13: 1, 10: 1, 8: 1, 17: 1}",0.5315121227036079
cluster_19,"[ 1 17 14 14 14  0 14  3 12  5  5  1  4  4  5  4  4  6  1  6  1 18  0  1
  1  1  0  1  1  1  1  1  0  0  1  0  1  1  1  1  1  1  0  0  0  0  1  1
  1  0  0  1 14  0 14 14 14  1  1  1  1  1 10  5  3  1  0  0  1  1  6  6
 11  2  0  1  8  2  0  0  0  0  0  1  1  2  1  1  1  1  1  1  1  1  1  1
  1  1  1  7 15 15  1  1  6  9  9  1  1  1  1  2  2  1 16  1  1  1  1  1
  6  2  9  9  9  1  1  1  9  9  1  1  1  1  6  1  1  1  1  2  1  1  1 13
  1  1  1  1  6  7  1  1  6  1  2  1  1  2  1  1  1  1  1  1  9  9  9  9
  1  1  1  1  1  1  1  1  1  1  1  1  2  1  1  1  1  1  1  1  1  1]","{1: 109, 0: 21, 9: 11, 2: 10, 6: 9, 14: 8, 4: 4, 5: 4, 3: 2, 7: 2, 15: 2, 8: 1, 10: 1, 11: 1, 12: 1, 13: 1, 16: 1, 17: 1, 18: 1}",0.5291995820225781
cluster_20,"[ 0 17 14 14 14  1 14  3 12  5  5  0  4  4  5  4  4  6  0  6  0 18  1  0
  0  0  1  0  0  0  0  0  1  1  0  1  0  0  0  0  0  0  1  1  1  1  0  0
  0  1  1  0 14  1 14 14 14  0  0  0  0  0 10  5  3  0 19  1  0  0  6  6
 11  2 19  0  8  2  1  1  1  1  1  0  0  2  0  0  0  0  0  0  0  0  0  0
  0  0  0  7 15 15  0  0  6  9  9  0  0  0  0  2  2  0 16  0  0  0  0  0
  6  2  9  9  9  0  0  0  9  9  0  0  0  0  6  0  0  0  0  2  0  0  0 13
  0  0  0  0  6  7  0  0  6  0  2  0  0  2  0  0  0  0  0  0  9  9  9  9
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0]","{0: 109, 1: 19, 9: 11, 2: 10, 6: 9, 14: 8, 4: 4, 5: 4, 15: 2, 19: 2, 7: 2, 3: 2, 8: 1, 11: 1, 12: 1, 13: 1, 16: 1, 17: 1, 18: 1, 10: 1}",0.5306291414367243
cluster_21,"[20 17  6  6  6  1  6  3 12  5  5 14  4  4  5  4  4  2 20  2 20 18  1 14
 14 14  1 14 14 14 14 14  1  1 14  1 14 20 20 20 20 20  1  1  1  1 20 14
 20  1  1 20  6  1  6  6  6 20 20 20 20 20 10  5  3 20 19  1 14 14  2  2
 11  0 19 14  8  0  1  1  1  1  1 20 20  0 20 20 20 20 20 20 20 20 20 20
 20 20 20  7 15 15 20 20  2  9  9 20 20 20 20  0  0 20 16 20 20 20 20 20
  2  0  9  9  9 20 20 20  9  9 20 20 20 20  2 20 20 20 20  0 20 20 20 13
 20 20 20 20  2  7 20 20  2 20  0 20 20  0 20 20 20 20 20 20  9  9  9  9
 20 20 20 20 20 20 20 20 20 20 20 20  0 20 20 20 20 20 20 20 20 20]","{20: 94, 1: 19, 14: 15, 9: 11, 0: 10, 2: 9, 6: 8, 5: 4, 4: 4, 7: 2, 3: 2, 15: 2, 19: 2, 8: 1, 11: 1, 12: 1, 13: 1, 16: 1, 17: 1, 18: 1, 10: 1}",0.5958719815326441
cluster_22,"[20 17  2  2  2  1  2  3 12  5  5  6  4  4  5  4  4  0 20  0 20 18  1  6
  6  6  1  6  6  6  6  6  1  1  6  1  6 20 20 20 20 20  1  1  1  1 20  6
 20  1  1 20  2  1  2  2  2 20 20 20 20 20 21  5  3 20 19  1  6  6  0  0
 11 10 19  6  8 10  1  1  1  1  1 20 20 10 20 20 20 20 20 20 20 20 20 20
 20 20 20  7 15 15 20 20  0  9  9 20 20 20 20 14 14 20 16 20 20 20 20 20
  0 14  9  9  9 20 20 20  9  9 20 20 20 20  0 20 20 20 20 14 20 20 20 13
 20 20 20 20  0  7 20 20  0 20 14 20 20 14 20 20 20 20 20 20  9  9  9  9
 20 20 20 20 20 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 20 20]","{20: 94, 1: 19, 6: 15, 9: 11, 0: 9, 2: 8, 14: 7, 4: 4, 5: 4, 10: 3, 3: 2, 7: 2, 19: 2, 15: 2, 17: 1, 18: 1, 11: 1, 16: 1, 13: 1, 12: 1, 8: 1, 21: 1}",0.5852137099855517
cluster_23,"[20 17  2  2  2  0  2  3 12  5  5  6  1  1  5  1  1  9 20  9 20 18  0  6
  6  6  0  6  6  6  6  6  0  0  6  0  6 20 20 20 20 20  0  0  0  0 20  6
 20  0  0 20  2  0  2  2  2 20 20 20 20 20 21  5  3 20 19  0  6  6 22 22
 11 10 19  6  8 10  0  0  0  0  0 20 20 10 20 20 20 20 20 20 20 20 20 20
 20 20 20  7 15 15 20 20  9  4  4 20 20 20 20 14 14 20 16 20 20 20 20 20
  9 14  4  4  4 20 20 20  4  4 20 20 20 20  9 20 20 20 20 14 20 20 20 13
 20 20 20 20  9  7 20 20  9 20 14 20 20 14 20 20 20 20 20 20  4  4  4  4
 20 20 20 20 20 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 20 20]","{20: 94, 0: 19, 6: 15, 4: 11, 2: 8, 14: 7, 9: 7, 5: 4, 1: 4, 10: 3, 19: 2, 15: 2, 22: 2, 7: 2, 3: 2, 13: 1, 12: 1, 8: 1, 16: 1, 17: 1, 18: 1, 21: 1, 11: 1}",0.5921362868880454
cluster_24,"[20 17  0  0  0 11  0  3 12  2  2  6  1  1  2  1  1  9 20  9 20 18 11  6
  6  6 11  6  6  6  6  6 11 11  6 11  6 20 20 20 20 20  5 11 11  5 20  6
 20  5  5 20  0  5  0  0  0 20 20 20 20 20 21  2  3 20 19  5  6  6 22 22
 23 10 19  6  8 10 11 11 11 11 11 20 20 10 20 20 20 20 20 20 20 20 20 20
 20 20 20  7 15 15 20 20  9  4  4 20 20 20 20 14 14 20 16 20 20 20 20 20
  9 14  4  4  4 20 20 20  4  4 20 20 20 20  9 20 20 20 20 14 20 20 20 13
 20 20 20 20  9  7 20 20  9 20 14 20 20 14 20 20 20 20 20 20  4  4  4  4
 20 20 20 20 20 20 20 20 20 20 20 20 14 20 20 20 20 20 20 20 20 20]","{20: 94, 6: 15, 11: 13, 4: 11, 0: 8, 14: 7, 9: 7, 5: 6, 1: 4, 2: 4, 10: 3, 7: 2, 22: 2, 3: 2, 15: 2, 19: 2, 18: 1, 21: 1, 12: 1, 17: 1, 16: 1, 13: 1, 8: 1, 23: 1}",0.593972195354118
cluster_25,"[20 17 14 14 14 11 14  3 12  0  0  2  1  1  0  1  1  9 20  9 20 18 11  2
  2  2 11  2  2  2  2  2 11 11  2 11  2 20 20 20 20 20  5 11 11  5 20  2
 20  5  5 20 14  5 24 24 14 20 20 20 20 20 21  0  3 20 19  5  2  2 22 22
 23 10 19  2  8 10 11 11 11 11 11 20 20 10 20 20 20 20 20 20 20 20 20 20
 20 20 20  7 15 15 20 20  9  4  4 20 20 20 20  6  6 20 16 20 20 20 20 20
  9  6  4  4  4 20 20 20  4  4 20 20 20 20  9 20 20 20 20  6 20 20 20 13
 20 20 20 20  9  7 20 20  9 20  6 20 20  6 20 20 20 20 20 20  4  4  4  4
 20 20 20 20 20 20 20 20 20 20 20 20  6 20 20 20 20 20 20 20 20 20]","{20: 94, 2: 15, 11: 13, 4: 11, 6: 7, 9: 7, 14: 6, 5: 6, 0: 4, 1: 4, 10: 3, 22: 2, 19: 2, 15: 2, 24: 2, 7: 2, 3: 2, 13: 1, 16: 1, 17: 1, 18: 1, 8: 1, 21: 1, 23: 1, 12: 1}",0.5934809266535191
